4K&8K频道,#genre#

CCTV-16-4K-HEVC,http://192.168.2.30:35455/itv/5000000008000023254.m3u8?cdn=bestzb
cctv16-4K-HLG,http://192.168.2.30:35455/gaoma/cctv4k16.m3u8
cctv4k-HLG,http://192.168.2.30:35455/gaoma/cctv4k.m3u8
北京纪实科教8K,https://gdcucc.v1.mk/gdcucc/brtv8k.m3u8
cctv8k_36m-HLG,http://192.168.2.30:35455/gaoma/cctv8k_36m.m3u8
北京IPTV4K,http://192.168.2.30:35455/bptv/10000100000000050000000003887500.m3u8
北京4K测试频道,http://192.168.2.30:35455/bptv/10000100000000050000000004270525.m3u8
华数-4K,http://192.168.2.30:35455/itv/6000000003000004748.m3u8?cdn=wasusyt
纯享-4K,http://192.168.2.30:35455/itv/1000000004000011651.m3u8?cdn=ystenlive
咪咕4K-1,http://192.168.2.30:35455/itv/3000000010000005180.m3u8?cdn=FifastbLive
咪咕4K-2,http://192.168.2.30:35455/itv/3000000010000015686.m3u8?cdn=FifastbLive
Love Nature 4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
Loupe 4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
Fashion 4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
SiTV-欢笑剧场-4K,http://192.168.2.30:35455/itv/5000000007000010001.m3u8?cdn=bestzb

央视,#genre#

cctv1-高码,http://192.168.2.30:35455/gaoma/cctv1.m3u8
CCTV-1,http://192.168.2.30:35455/itv/6000000001000029752.m3u8?cdn=wasusyt
CCTV-1-50-FPS,http://192.168.2.30:35455/itv/5000000004000002226.m3u8?cdn=bestzb
CCTV-1-HEVC,http://192.168.2.30:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
cctv2-高码,http://192.168.2.30:35455/gaoma/cctv2.m3u8
CCTV-2,http://192.168.2.30:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV-2-50-FPS,http://192.168.2.30:35455/itv/6000000001000014161.m3u8?cdn=wasusyt
CCTV-2-HEVC,http://192.168.2.30:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
cctv3-高码,http://192.168.2.30:35455/gaoma/cctv3.m3u8
CCTV-3,http://192.168.2.30:35455/itv/6000000001000022313.m3u8?cdn=wasusyt
CCTV-3-HEVC,http://192.168.2.30:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
cctv4-高码,http://192.168.2.30:35455/gaoma/cctv4.m3u8
CCTV-4-50-FPS,http://192.168.2.30:35455/itv/5000000011000031102.m3u8?cdn=bestzb
CCTV-4-HEVC,http://192.168.2.30:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
cctv5-高码,http://192.168.2.30:35455/gaoma/cctv5.m3u8
CCTV-5,http://192.168.2.30:35455/itv/1000000005000025222.m3u8?cdn=ystenlive
CCTV-5-HEVC,http://192.168.2.30:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
cctv5p-高码,http://192.168.2.30:35455/gaoma/cctv5p.m3u8
CCTV-5+,http://192.168.2.30:35455/itv/6000000001000015875.m3u8?cdn=wasusyt
CCTV-5+-HEVC,http://192.168.2.30:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
